company_sort_id,shareholder_name,shareholder_description,share_percentage,shareholder_tag,,,,
110,100X.VC,/,/,Finance,,,,
110,9Unicorns,/,/,Finance,,,,
110,Anupam Mittal,/,/,Finance,,,,
110,Goat Capital,/,/,Finance,,,,
110,Goodwater Capital,/,/,Finance,,,,
111,1982 Ventures,/,/,Finance,,,,
111,Abhinay Peddisetty,/,/,Finance,,,,
111,Amand Ventures,/,/,Finance,,,,
111,Broadhaven Capital Partners,/,/,Finance,,,,
111,Chinmay Chauhan,/,/,Finance,,,,
112,Sajo DongA,/,28.66%,Finance,,,,
113,CURFORE PTY LTD,/,31.77%,Finance,,,,
113,GREGORY MOSHAL,/,15.16%,Finance,,,,
113,AUSTRALIANSUPER PTY LTD,/,11.26%,Finance,,,,
113,AIRTREE VENTURES GP PTY LTD,/,8.91%,Finance,,,,
113,BEAUMONT BERTOLI,/,5.95%,Finance,,,,
113,Launch Africa and Partech,/,/,Finance,,,,
114,Lars Fjeldsoe-Nielsen and Y Combinator,/,/,Finance,,,,
115,Lars Fjeldsoe-Nielsen ,/,/,Finance,,,,
115,Y Combinator,/,/,Finance,,,,
116,Sachin Bansal,/,98.81%,Finance,,,,
116,Samit Shetty,/,1.05%,Finance,,,,
116,Other,/,0.15%,Finance,,,,
117,Binocular Investments,/,/,Finance,,,,
117,Fab-Tech,/,/,Finance,,,,
117,Alitheia Capital,/,/,Finance,,,,
117,Bamboo Capital Partners,/,/,Finance,,,,
117,Goodwell Investments,/,/,Finance,,,,
118,UBS Next,/,/,Finance,,,,
118,Singapore閳ユ�?EDBI,/,/,Finance,,,,
118,Prosus Ventures,/,/,Finance,,,,
118,Lightspeed Venture Partners,/,/,Finance,,,,
118,Singtel Innov8,/,/,Finance,,,,
118,Endowus employees,/,/,Finance,,,,
119,UBS,/,/,Finance,,,,
119,Lightspeed Venture Partners,/,/,Finance,,,,
119,Softbank Ventures Asia,/,/,Finance,,,,
119,Prosus Ventures,/,/,Finance,,,,
119,Z Venture Capital,/,/,Finance,,,,
119,Samsung Ventures,/,/,Finance,,,,
119,Singtel Innov 8,/,/,Finance,,,,
119,EDBI,/,/,Finance,,,,
120,Accel,/,/,Finance,,,,
120,DST Global,/,/,Finance,,,,
120,Lightspeed India,/,/,Finance,,,,
120,Ashish Gupta,/,/,Finance,,,,
121,Community Investment Management,/,/,Finance,,,,
121,Norfund,/,/,Finance,,,,
122,East Ventures,/,/,Finance,,,,
122,Convergence Ventures,/,/,Finance,,,,
122,Quona Capital,/,/,Finance,,,,
122,Provident Capital,/,/,Finance,,,,
122,Skystar Capital,/,/,Finance,,,,
122,Gobi Partners,/,/,Finance,,,,
123,/,/,/,/,,,,
124,Standard Chartered Bank,/,/,Finance,,,,
124,FairPrice Group,/,/,Finance,,,,
124,NTUC Enterprise,/,/,Finance,,,,
125,Grab Holdings Grab,/,/,Finance,,,,
126,Singtel,/,/,Finance,,,,
127,SeaMoney Holding Limited,/,/,Finance,,,,
128,Ant International,/,/,Finance,,,,
129,"Greenland Financial Holdings Group Co., Ltd.",/,80.00%,Finance,,,,
129,Linklogis Hong Kong Limited,/,20.00%,Finance,,,,
130,China CITIC Bank,/,65.70%,Finance,,,,
130,"Fujian Baidu Borui Network Technology Co., Ltd.",/,26.03%,Finance,,,,
130,Canadian Pension Fund Investment Corporation,/,8.27%,Finance,,,,
131,"The Master Trust Bank of Japan, Ltd. (Trust Account)",/,12.28%,Finance,,,,
131,"Crimson Group, LLC.",/,10.57%,Finance,,,,
131,Hiroshi Mikitani,/,8.23%,Finance,,,,
131,Haruko Mikitani,/,6.19%,Finance,,,,
131,"JAPAN POST HOLDINGS Co., Ltd.",/,6.12%,Finance,,,,
131,"Custody Bank of Japan, Ltd. (Trust Account)",/,3.32%,Finance,,,,
131,MSIP CLIENT SECURITIES,/,3.11%,Finance,,,,
131,GOLDMAN SACHS INTERNATIONAL,/,2.52%,Finance,,,,
131,"Goldman Sachs Japan Co., Ltd. BNYM",/,2.39%,Finance,,,,
131,"Mikitani Kosan, Inc.",/,1.44%,Finance,,,,
132,MBK Partners and Bain Capital,/,/,Finance,,,,
133,New Hope Group Limited,/,30.00%,Finance,,,,
133,Xiaomi Corporation,/,29.50%,Finance,,,,
133,"Chengdu Hongqi Chain Co., Ltd.",/,15.00%,Finance,,,,
134,"SBI Holdings, Inc.",/,/,Finance,,,,
134,Sumitomo Mitsui Financial Group (SMFG),/,/,Finance,,,,
135,"Suning Tesco Group Co., Ltd.",/,30.00%,Finance,,,,
135,Sunrise Oriental Holdings Limited,/,23.60%,Finance,,,,
136,"Goldman Sachs Group Inc., The",/,/,Finance,,,,
136,Capital Research and Management Company,/,/,Finance,,,,
136,"BlackRock, Inc",/,7.30%,Finance,,,,
137,SAIF Advisors Ltd.,/,15.38%,Finance,,,,
137,Resilient Asset Management BV,/,10.26%,Finance,,,,
137,Antfin (Netherlands) Holding BV,/,9.86%,Finance,,,,
138,Z Financial Corporation,/,75.28%,Finance,,,,
138,Sumitomo Mitsui Banking Corporation,/,21.54%,Finance,,,,
138,Fujitsu Limited,/,2.43%,Finance,,,,
138,"Mitsui Sumitomo Insurance Co., Ltd.",/,0.24%,Finance,,,,
138,"Taiju Life Insurance Company, Limited",/,0.24%,Finance,,,,
138,Sumitomo Life Insurance Company,/,0.24%,Finance,,,,
139,"Seven-Eleven Japan Co., Ltd.",/,38.46%,Finance,,,,
139,"The Master Trust Bank of Japan, Ltd. (trust account)",/,7.91%,Finance,,,,
139,"Ito-Yokado Co., Ltd.",/,3.98%,Finance,,,,
139,"York-Benimaru Co., Ltd.",/,3.81%,Finance,,,,
139,"Custody Bank of Japan, Ltd. (trust account)",/,3.57%,Finance,,,,
139,Sumitomo Mitsui Banking Corporation,/,1.27%,Finance,,,,
139,"The Dai-ichi Life Insurance Company, Limited",/,1.27%,Finance,,,,
139,"MUFG Bank, Ltd.",/,0.84%,Finance,,,,
139,"Nomura Research Institute, Ltd.",/,0.84%,Finance,,,,
139,NEC Corporation,/,0.84%,Finance,,,,
140,Bharti Group of Companies,/,/,Finance,,,,
141,"LINE Co., Ltd.",/,/,Finance,,,,
141,Taipei Fubon Commercial Bank,/,/,Finance,,,,
141,China Trust Commercial Bank,/,/,Finance,,,,
141,Federal Commercial Bank,/,/,Finance,,,,
141,Standard Chartered International Commercial Bank,/,/,Finance,,,,
141,Taiwan Big Brother,/,/,Finance,,,,
141,Far EasTone Telecommunications,/,/,Finance,,,,
142,/,/,/,/,,,,
143,/,/,/,/,,,,
144,Shareholding of Promoter and Promoter Group,/,75.00%,Finance,,,,
144,Public Shareholding,/,25.00%,Finance,,,,
145,Khazanah Nasional Bhd. (Investment Company),/,21.57%,Finance,,,,
145,Employees Provident Fund,/,15.29%,Finance,,,,
145,Kumpulan Wang Persaraan,/,6.01%,Finance,,,,
145,Eastspring Investments Bhd.,/,1.93%,Finance,,,,
145,T. Rowe Price Hong Kong Ltd.,/,1.43%,Finance,,,,
145,AIA Bhd.,/,1.22%,Finance,,,,
145,GIC Pte Ltd. (Investment Management),/,1.18%,Finance,,,,
145,APG Asset Management NV,/,0.94%,Finance,,,,
145,Eastspring Investments (Singapore) Ltd.,/,0.89%,Finance,,,,
145,Great Eastern Life Assurance Co. Ltd.,/,0.69%,Finance,,,,
146,Hana Bank,/,/,Finance,,,,
147,same as 136,/,/,/,,,,
148,IDBI Bank Limited,/,26.10%,Finance,,,,
148,HDFC Bank limited,/,8.95%,Finance,,,,
148,State Bank of India,/,5.00%,Finance,,,,
148,Deutsche Bank A.G.,/,5.00%,Finance,,,,
148,The Hongkong and Shanghai Banking Corporation,/,3.13%,Finance,,,,
148,Citibank N.A.,/,3.13%,Finance,,,,
148,Standard Chartered Bank Limited,/,3.13%,Finance,,,,
148,Union Bank of India,/,2.81%,Finance,,,,
148,Canara Bank,/,2.30%,Finance,,,,
148,Kotak Mahindra Life Insurance Company Limited,/,2.47%,Finance,,,,
148,Administrator of the Specified Undertaking of the Unit Trust of India- Unit Scheme 1964,/,6.83%,Finance,,,,
148,Alternate Investment Funds,/,0.73%,Finance,,,,
148,National Stock Exchange of India Limited,/,24.00%,Finance,,,,
149,PIC (ZA),/,12.66%,Finance,,,,
149,Remgro Limited (ZA),/,7.61%,Finance,,,,
149,Baillie Gifford & Co Ltd (SC),/,7.50%,Finance,,,,
149,Gore A (ZA)*,/,7.22%,Finance,,,,
149,Capital Group Companies Inc,/,4.59%,Finance,,,,
149,Swartzberg B (ZA)*,/,3.83%,Finance,,,,
149,Royal Bafokeng Holdings (Pty) Ltd (ZA),/,3.52%,Finance,,,,
149,BlackRock Inc,/,3.27%,Finance,,,,
149,FMR LLC,/,3.18%,Finance,,,,
149,The Vanguard Group Inc,/,3.15%,Finance,,,,
150,Taipei Fubon Bank,/,/,Finance,,,,
150,CTBC Bank,/,/,Finance,,,,
150,FarEasTone,/,/,Finance,,,,
150,Standard Chartered Bank,/,/,Finance,,,,
150,Taiwan Mobile,/,/,Finance,,,,
150,Union Bank of Taiwan,/,/,Finance,,,,
151,the Public Investment Fund of Saudi Arabia,/,/,Finance,,,,
152,/,/,/,/,,,,
153,Arzan Venture Capital,/,/,Finance,,,,
153,Khwarizmi Ventures,/,/,Finance,,,,
153,Middle East Venture Partners,/,/,Finance,,,,
153,Nour Nouf Knowledge,/,/,Finance,,,,
153,Raed Ventures,/,/,Finance,,,,
154,Pepper Group ANZ Holdco Limited,/,60.57%,Finance,,,,
154,J P Morgan Nominees Australia Pty Limited,/,11.02%,Finance,,,,
154,National Nominees Limited,/,6.18%,Finance,,,,
154,HSBC Custody Nominees (Australia) Limited,/,3.37%,Finance,,,,
154,Citicorp Nominees Pty Limited,/,3.01%,Finance,,,,
154,Netwealth Investments Limited <Wrap Services A/C>,/,2.58%,Finance,,,,
154,BNP Paribas Noms Pty Ltd <DRP>,/,2.27%,Finance,,,,
154,HSBC Custody Nominees (Australia) Limited <Nt-Comnwlth Super Corp A/C>,/,0.91%,Finance,,,,
154,UBS Nominees Pty Ltd 0.906% Brispot Nominees Pty Ltd <House Head Nominee A/C>,/,0.55%,Finance,,,,
154,Denise Aoun,/,0.54%,Finance,,,,
154,Neweconomy Com Au Nominees Pty Limited <900 Account>,/,0.48%,Finance,,,,
154,Merrill Lynch (Australia) Nominees Pty Limited,/,0.42%,Finance,,,,
154,Mr David Moore <D & S Moore Family A/C>,/,0.18%,Finance,,,,
154,John Williams,/,0.15%,Finance,,,,
154,Sue Kent,/,0.14%,Finance,,,,
154,Sally Jane Thompson,/,0.14%,Finance,,,,
154,Warbont Nominees Pty Ltd <Unpaid Entrepot A/C>,/,0.10%,Finance,,,,
154,Warragal Holdings Pty Ltd <Gole Family A/C>,/,0.07%,Finance,,,,
154,HSBC Custody Nominees (Australia) Limited �?A/C 2,/,0.07%,Finance,,,,
155,Tonik Financial Pte. Ltd,/,60.00%,Finance,,,,
155,"Oak Drive Ventures, Inc",/,20.00%,Finance,,,,
155,"Camerton, Inc.",/,20.00%,Finance,,,,
156,Abudawood Group,/,/,Finance,,,,
156,AlJazira Capital,/,/,Finance,,,,
156,Arab Supply and Trading Company,/,/,Finance,,,,
156,Hartmann Holdings,/,/,Finance,,,,
156,Audacia Capital,/,/,Finance,,,,
157,Intesa Sanpaolo,/,80.00%,Finance,,,,
157,International Finance Cooperation (IFC),/,9.75%,Finance,,,,
158,/,/,/,/,,,,
159,/,/,/,/,,,,
160,Universo Online S.A.,/,36.79%,Finance,,,,
160,Free Float,/,57.87%,Finance,,,,
160,Treasury,/,5.35%,Finance,,,,
161,Institutional,/,65.53%,Finance,,,,
161,Other,/,6.73%,Finance,,,,
161,Tencent Holdings Ltd.,/,6.62%,Finance,,,,
161,"Berkshire Hathaway, Inc.",/,2.90%,Finance,,,,
161,State Street Corp.,/,1.04%,Finance,,,,
161,SEI Investments Co.,/,0.51%,Finance,,,,
161,Individuals,/,0.28%,Finance,,,,
161,"Sumitomo Mitsui Trust Group, Inc.",/,0.20%,Finance,,,,
161,Partners Group Holding AG,/,0.17%,Finance,,,,
161,Polar Capital Holdings Plc,/,0.11%,Finance,,,,
161,Governments,/,0.04%,Finance,,,,
161,Ita�?Unibanco Holding SA,/,0.02%,Finance,,,,
161,Banco BTG Pactual SA,/,0.02%,Finance,,,,
161,Baader Bank AG,/,0.01%,Finance,,,,
161,Manulife Financial Corp.,/,0.01%,Finance,,,,
161,Unknown,/,15.81%,Finance,,,,
162,BANCO BTG PACTUAL S.A.,/,47.17%,Finance,,,,
162,BTG Pactual WM Gest鑼玱 de Recursos Ltda.,/,5.04%,Finance,,,,
162,Credit Suisse Hedging-Griffo Corretora de Valores SA,/,4.07%,Finance,,,,
162,Unity Capital Gestora de Investimentos Ltda.,/,3.78%,Finance,,,,
162,BANCO PAN S.A.,/,3.70%,Finance,,,,
163,Spaldy Investments Ltd,/,52.90%,Finance,,,,
163,"GT Capital Holdings, Inc",/,37.20%,Finance,,,,
163,Ty family ,/,14.70%,Finance,,,,
164,Costellis International Limited (Controlling Group),/,78.43%,Finance,,,,
164,Softbank (SBLA Holding),/,4.32%,Finance,,,,
164,Hottaire International Limited,/,1.11%,Finance,,,,
164,Squadra Investimentos �?Gest鑼玱 de Recursos Ltda,/,2.15%,Finance,,,,
164,Fidelity International LTD,/,1.11%,Finance,,,,
164,Others,/,12.89%,Finance,,,,
165,members of the Brito and Carballo families,/,/,Finance,,,,
166,Vinci Partners,/,/,Individual,,,,
167,Vanguard Fiduciary Trust Co.,/,7.92%,Finance,,,,
167,Index Ventures (UK) LLP,/,4.74%,Finance,,,,
167,Ribbit Management Co. LLC,/,3.85%,Finance,,,,
167,BlackRock Advisors LLC,/,3.55%,Finance,,,,
167,DST Global Ltd. /GB/,/,3.54%,Finance,,,,
167,"Sumitomo Mitsui Trust Group, Inc.",/,3.12%,Finance,,,,
167,"Nikko Asset Management Americas, Inc.",/,2.98%,Finance,,,,
167,Newlands Management Operations LLC,/,2.76%,Finance,,,,
167,"Thrive Capital Management, LLC",/,2.68%,Finance,,,,
167,ARK Investment Management LLC,/,2.51%,Finance,,,,
168,Clikalia S.A Mexico Intermediation of business and services ,/,44.50%,Finance,,,,
168,CHP - Companhia Hipotec璋﹔ia Piratini Brazil Intermediation of business and services,/,12.51%,Finance,,,,
169,J&F Par,/,/,Individual,,,,
170,Vanguard Group Inc,/,8.45%,Finance,,,,
170,Blackrock Inc.,/,4.26%,Finance,,,,
170,"Silver Lake Group, LLC",/,2.92%,Finance,,,,
170,State Street Corporation,/,1.67%,Finance,,,,
170,"Geode Capital Management, LLC",/,1.62%,Finance,,,,
170,Morgan Stanley,/,1.49%,Finance,,,,
170,"ARK Investment Management, LLC",/,1.36%,Finance,,,,
170,Norges Bank Investment Management,/,1.31%,Finance,,,,
170,Dimensional Fund Advisors LP,/,1.23%,Finance,,,,
170,"Nikko Asset Management Americas, Inc.",/,1.07%,Finance,,,,
171,Vanguard Group Inc,/,/,Finance,,,,
171,"Fmr Llc, BlackRock Inc.",/,/,Finance,,,,
171,VTSMX - Vanguard Total Stock Market Index Fund Investor Shares,/,/,Finance,,,,
171,"Susquehanna International Group, Llp",/,/,Finance,,,,
171,Citadel Advisors Llc,/,/,Finance,,,,
171,Susquehanna International Group,/,/,Finance,,,,
171,Paradigm Operations LP,/,/,Finance,,,,
171,State Street Corp,/,/,Finance,,,,
171,VIMSX - Vanguard Mid-Cap Index Fund,/,/,Finance,,,,
172,DELFIN S.�?r.l..,/,19.81%,Finance,,,,
172,GRUPPO F.G. CALTAGIRONE,/,7.76%,Finance,,,,
172,GRUPPO BLACKROCK (1),/,4.23%,Finance,,,,
172,GRUPPO MEDIOLANUM,/,3.49%,Finance,,,,
173,Tiger Global Management,/,/,Finance,,,,
173,Susquehanna Growth Equity,/,/,Finance,,,,
173,CapitalG,/,/,Finance,,,,
174,Dragoneer Investment Group.,/,/,Finance,,,,
174,Coatue Management.,/,/,Finance,,,,
174,Third Point Ventures.,/,/,Finance,,,,
175,David Haythornthwaite,/,/,Individual,,,,
176,National Australia Bank,/,/,Finance,,,,
177,"Morgan Stanley Investment Management, Inc.",/,11.42%,Finance,,,,
177,Capital Research & Management Co. (Global Investors),/,8.88%,Finance,,,,
177,GIC Pte Ltd. (Investment Management),/,8.23%,Finance,,,,
177,Vanguard Fiduciary Trust Co.,/,7.87%,Finance,,,,
177,Capital Research & Management Co. (World Investors),/,7.03%,Finance,,,,
178,AnaCap holds,/,/,Finance,,,,
178,Deutsche Bank,/,/,Finance,,,,
179,JPMorgan Chase & Co,/,/,Finance,,,,
180,Fund,/,59.89%,Finance,,,,
180,Enterprise,/,20.30%,Finance,,,,
180,Angel,/,0.10%,Finance,,,,
181,Matthew Oppenheimer,/,/,Individual,,,,
181,Josh Hug,/,/,Individual,,,,
181,Shivaas Gulati ,/,/,Individual,,,,
182,SONATEL SA,/,42.33%,Finance,,,,
182,ORANGE POLSKA S.A.,/,50.67%,Finance,,,,
182,ORANGE BELGIUM S.A.,/,68.42%,Finance,,,,
182,JORDAN TELECOMMUNICATIONS COMPANY,/,51.00%,Finance,,,,
182,ORANGE,/,0.10%,Finance,,,,
182,DEEZER,/,8.10%,Finance,,,,
183,/,/,/,/,,,,
184,/,/,/,/,,,,
185,CITIC Capital,/,/,Finance,,,,
185,Pavilion Capital,/,/,Finance,,,,
185,EDBI,/,/,Finance,,,,
185,Qatar's Doha Venture Capital,/,/,Finance,,,,
185,SeaTown Holdings International,/,/,Finance,,,,
185,Veteran entrepreneur,/,/,Finance,,,,
186,Chris Britt ,/,/,Individual,,,,
186,Ryan King,/,/,Individual,,,,
187,Harry McPike ,/,/,Individual,,,,
187,Chrysalis Investments Ltd,/,/,Finance,,,,
187,Fidelity,/,/,Finance,,,,
187,Railpen,/,/,Finance,,,,
187,Qatar Investment Authority,/,/,Finance,,,,
187,Millennium Management,/,/,Finance,,,,
187,Goldman Sachs,/,/,Finance,,,,
188,/,/,/,/,,,,
189,PayPal,/,/,Finance,,,,
190,166 2nd Financial Services,/,/,Finance,,,,
190,Adam Neumann,/,/,Finance,,,,
190,Chaos Ventures (New York),/,/,Finance,,,,
190,D1 Capital Partners,/,/,Finance,,,,
190,Silverhorn Investment Advisors,/,/,Finance,,,,
191,Cronos,/,3.61%,Finance,,,,
192,AnaCap,/,/,Finance,,,,
193,/,/,/,/,,,,
194,/,/,/,/,,,,
195,"Shenzhen Tencent Domain Computer Network Co., Ltd",/,32.73%,Finance,,,,
195,"Shenzhen Baiyeyuan Investment Co., Ltd. (15.58%) �?,/,15.58%,Finance
195,Shenzhen Liye Group Co."," Ltd. """,/,15.58%,Finance,,,
196,"Block, Inc.",/,/,Finance,,,,
196,Y Combinator,/,/,Finance,,,,
196,Kleiner Perkins,/,/,Finance,,,,
196,DST Global,/,/,Finance,,,,
196,PayPal co-founders Max Levchin and Peter Thie,/,/,Individual,,,,
197,Lone Pine Capital,/,/,Finance,,,,
197,Ribbit Capital,/,/,Finance,,,,
198,BAWAG Group AG,/,/,Finance,,,,
199,Apax Partners,/,/,Finance,,,,
199,Apax Digital Growth,/,/,Finance,,,,
199,SquareOne Capital,/,/,Finance,,,,
199,Tiny Supercomputer Investment Company.,/,/,Finance,,,,
199,Tom Lesche,/,/,Finance,,,,
200,Brazil閳ユ�?Nubank,/,/,Finance,,,,
201,/,/,/,/,,,,
202,Chimera Capital Management,/,/,Finance,,,,
202,Davidson Kempner Capital Management,/,/,Finance,,,,
202,Silverstripe Investment Management,/,/,Finance,,,,
202,SoftBank Investment Advisers,/,/,Finance,,,,
202,Volution Ventures,/,/,Finance,,,,
203,/,/,/,/,,,,
204,/,/,/,/,,,,
205,/,/,/,/,,,,
206,/,/,/,/,,,,
207,/,/,/,/,,,,
208,/,/,/,/,,,,
209,/,/,/,/,,,,
210,369 Growth Partners,/,/,Finance,,,,
210,Aflac Ventures,/,/,Finance,,,,
210,Alemis Ventures,/,/,Finance,,,,
210,Birchaven Group,/,/,Finance,,,,
210,Future Perfect Ventures,/,/,Finance,,,,
211,Lone Pine Capital,/,/,Finance,,,,
211,Russell Westbrook Enterprises,/,/,Finance,,,,
211,Gallatin Point Capital,/,/,Finance,,,,
211,The Rise Fund,/,/,Finance,,,,
211,Paul Hewson (Bono),/,/,Finance,,,,
211,Jeffrey S. Skoll,/,/,Finance,,,,
212,BlackRock Inc. (1),/,6.00%,Finance,,,,
212,SFPI (2),/,5.60%,Finance,,,,
212,Amundi (3),/,5.10%,Finance,,,,
212,Grand Duchy of Luxembourg,/,1.10%,Finance,,,,
212,Group FCPE (4),/,3.70%,Finance,,,,
212,Directly held by employees (5),/,1.00%,Finance,,,,
212,Individual shareholders (6),/,6.40%,Finance,,,,
212,European institutional investors (6),/,37.70%,Finance,,,,
212,Non-European institutional investors (6),/,33.40%,Finance,,,,
213,/,/,/,/,,,,
214,Almora Capital,/,/,Finance,,,,
214,Eldridge Industries,/,/,Finance,,,,
214,National Australian Bank Ventures,/,/,Finance,,,,
214,Owl Ventures,/,/,Finance,,,,
214,PEAK6 Strategic Capital,/,/,Finance,,,,
215,Founders,/,63.42%,Finance,,,,
215,Funds,/,22.57%,Finance,,,,
215,Angel,/,0.28%,Finance,,,,
215,Other,/,1.46%,Finance,,,,
216,/,/,/,/,,,,
217,/,/,/,/,,,,
218,/,/,/,/,,,,
219,IFC,/,/,Finance,,,,
219,FundersClub,/,/,Finance,,,,
219,DN Capital,/,/,Finance,,,,
219,Martin Varsavsky,/,/,Finance,,,,
219,Angel,/,/,Finance,,,,
220,/,/,/,/,,,,
221,/,/,/,/,,,,
222,Norwegian banks,/,72.20%,Finance,,,,
222,Danske Bank,/,27.80%,Finance,,,,
223,/,/,/,/,,,,
224,Intersection Growth Partners,/,/,Finance,,,,
224,Macquarie Investment Management Austrin Company,/,/,Finance,,,,
224,M&G,/,/,Finance,,,,
224,The Goldman Sachs Group,/,/,Finance,,,,
224,Vinthera,/,/,Finance,,,,
225,/,/,/,/,,,,
226,/,/,/,/,,,,
227,/,/,/,/,,,,
228,StepStone Group,/,/,Finance,,,,
228,OnePrime Capitalx,/,/,Finance,,,,
228,Rise Capital,/,/,Finance,,,,
228,VARIV Capital ,/,/,Finance,,,,
228,Altos Ventures Management,/,/,Finance,,,,
229,Christophe Maurissen,/,/,Finance,,,,
229,General Atlantic,/,/,Finance,,,,
229,Techmind,/,/,Finance,,,,
229,Tiger Global Management,/,/,Finance,,,,
229,Wind Capital,/,/,Finance,,,,
230,Basler Kantonalbank,/,/,Finance,,,,
230,Bank Cler,/,/,Finance,,,,
231,Kinnevik Online Ab,/,24.53%,Finance,,,,
231,Paypal,/,10.35%,Finance,,,,
231,Investec,/,7.39%,Finance,,,,
231,Augmentum Fintech Plc,/,7.01%,Finance,,,,
231,Hsbc Investment Bank Holdings Limited,/,6.32%,Finance,,,,
231,International Consolidated Airlines Group Sa,/,5.64%,Finance,,,,
231,Tera Ventures Ou,/,4.26%,Finance,,,,
231,Artha Investments Ou,/,3.91%,Finance,,,,
232,/,/,/,/,,,,
233,Kinnevik,/,/,Finance,,,,
234,Norwegian banks ,/,/,Finance,,,,
234,Danske Bank,/,/,Finance,,,,
235,Institutional,/,60.05%,Finance,,,,
235,Individuals,/,24.77%,Finance,,,,
235,Other,/,3.16%,Finance,,,,
235,State Street Corp.,/,1.50%,Finance,,,,
235,Schweizerische Nationalbank,/,0.09%,Finance,,,,
235,SEI Investments Co.,/,0.08%,Finance,,,,
235,"Corebridge Financial, Inc.",/,0.04%,Finance,,,,
235,Manulife Financial Corp.,/,0.03%,Finance,,,,
235,Governments,/,0.01%,Finance,,,,
235,Unknown,/,10.27%,/,,,,
236,/,/,/,/,,,,
237,Plug and Play Tech Center,/,/,Finance,,,,
237,UBS Group,/,/,Finance,,,,
237,Divide by Zero,/,/,Finance,,,,
237,Flight Ventures,/,/,Finance,,,,
237,PEAK6 Strategic Capital,/,/,Finance,,,,
238,Goldman Sachs,/,/,Finance,,,,
238,Credit Suisse,/,/,Finance,,,,
238,Point72 Ventures,/,/,Finance,,,,
238,New Residential Investment Corp.,/,/,Finance,,,,
238,Kaszek,/,/,Finance,,,,
238,QED Investors,/,/,Finance,,,,
238,John Mark,/,/,Finance,,,,
239,Michael Wekerle 7.475 %,/,7.48%,Finance,,,,
239,Tidal Investments LLC 5.394 %,/,5.39%,Finance,,,,
239,David Feller 3.441 %,/,3.44%,Finance,,,,
239,Mariner LLC (13F Subfiler) 2.476 %,/,2.48%,Finance,,,,
240,/,/,/,/,,,,
241,Western Union,/,/,Finance,,,,
242,/,/,/,/,,,,
243,/,/,/,/,,,,
244,/,/,/,/,,,,
248,/,/,/,/,,,,
249,Program Force Pty Ltd <Meydan Family A/C No 4>,/,17.97%,Finance,,,,
249,Hsbc Custody Nominees (Australia) Limited A/C 2,/,10.13%,Finance,,,,
249,HSBC Custody Nominees (Australia) Limited,/,7.27%,Finance,,,,
249,J P Morgan Nominees Australia Pty Limited,/,5.39%,Finance,,,,
249,BNP PARIBAS NOMINEES PTY LTD <IB AU NOMS RETAILCLIENT DRP>,/,4.39%,Finance,,,,
249,Just Group Investment Pty Ltd <Just Group Invest P/L A/C>,/,2.70%,Finance,,,,
249,Colourdome Pty Ltd,/,2.05%,Finance,,,,
249,Citicorp Nominees Pty Limited,/,2.04%,Finance,,,,
249,V-Leader Pty Ltd <Zhang Family A/C>,/,1.18%,Finance,,,,
249,Jagen Group Investment Pty Ltd <Jagen Group Investment A/C>,/,0.90%,Finance,,,,
249,Jeccem Management Pty Ltd <Jeccem Management A/C>,/,0.68%,Finance,,,,
249,Mr Edmond Wing Kin Cheung & Mrs Eliza Siu Ling Cheung <Edmond & Eliza S/F A/C>,/,0.62%,Finance,,,,
249,Mrs Suiqing Bao,/,0.47%,Finance,,,,
249,BNP Paribas Noms Pty Ltd <DRP>,/,0.45%,Finance,,,,
249,Superhero Securities Limited <Client A/C>,/,0.43%,Finance,,,,
249,Rbft Pty Ltd <Richard Broome Family A/C>,/,0.39%,Finance,,,,
249,Kj & Rj Retirement Plan Pty Ltd <Jones Family Retire Plan A/C>,/,0.32%,Finance,,,,
249,Bnpl Pty Ltd <Bnpl A/C>,/,0.29%,Finance,,,,
249,Agilean Pty Ltd <Raymond Kong Family A/C>,/,0.29%,Finance,,,,
249,MR POH SENG TAN,/,0.28%,Finance,,,,
250,Accel,/,/,Finance,,,,
250,Battery,/,/,Finance,,,,
250,Ventures,/,/,Finance,,,,
250,Temasek,/,/,Finance,,,,
251,Communications,/,6.95%,Finance,,,,
251,Consumer Discretionary,/,10.38%,Finance,,,,
251,Consumer Staples,/,10.03%,Finance,,,,
251,Financials,/,8.11%,Finance,,,,
251,Health Care,/,15.73%,Finance,,,,
251,Industrials,/,8.92%,Finance,,,,
251,Materials,/,3.93%,Finance,,,,
251,Technology,/,30.76%,Finance,,,,
251,Utilities,/,1.47%,Finance,,,,
251,Real Estate Investment Trust,/,2.19%,Finance,,,,
251,Short-Term Investment,/,1.57%,Finance,,,,
252,/,/,/,/,,,,
253,J.C. Flowers & Co.,/,/,Finance,,,,
254,Morpheus Ventures,/,/,Finance,,,,
254,Mountain Lion Ventures,/,/,Finance,,,,
254,Plug and Play Tech Center,/,/,Finance,,,,
254,Bossa Invest,/,/,Finance,,,,
254,Cornelius Boersch,/,/,Finance,,,,
255,/,/,/,/,,,,
256,/,/,/,/,,,,
257,"Divisadero Street Capital Management, LP",/,/,Finance,,,,
257,"NVP Associates, LLC",/,/,Finance,,,,
257,Blackrock Inc.,/,/,Finance,,,,
257,Vanguard Group Inc,/,/,Finance,,,,
257,"Whetstone Capital Advisors, LLC",/,/,Finance,,,,
257,Marshall Wace LLP,/,/,Finance,,,,
257,State Street Corporation,/,/,Finance,,,,
